IncidntNum,Date,Time,X,Y
90451087,2009-04-30,13:46,-122.3925957,37.75281284
90413918,2009-04-22,17:55,-122.4217477,37.76274366
100836587,2010-09-10,8:02,-122.4524282,37.72571725
60473027,2006-05-03,22:00,-122.4034048,37.77542071
120000201,2012-01-01,1:00,-122.4064387,37.79783821
110251674,2011-03-27,19:50,-122.4015903,37.75456982
50292138,2005-03-15,14:20,-122.4077673,37.74842403
60567664,2006-05-29,8:30,-122.4084074,37.79914233
90913532,2009-09-05,9:52,-122.3933572,37.77578762
91202592,2009-11-22,15:00,-122.4199195,37.80764035
90842038,2009-08-17,22:32,-122.4587337,37.7793316
31115654,2003-09-22,15:30,-122.4338505,37.79729795
120033688,2012-01-12,20:43,-122.4069271,37.73711128
80009555,2008-01-03,14:12,-122.4065391,37.75648641
110169118,2011-02-26,20:55,-122.3869859,37.72892041
70912996,2007-09-06,16:00,-122.4034048,37.77542071
91284857,2009-12-17,15:53,-122.4359594,37.75922119
90515053,2009-05-31,19:04,-122.4179993,37.78564075
71094400,2007-10-25,7:30,-122.4088055,37.76316899
121023006,2012-12-20,4:08,-122.4203035,37.77089689
30239401,2003-02-26,17:00,-122.4230172,37.76081833
130397678,2013-05-14,9:45,-122.4234131,37.79573711
30920622,2003-08-03,13:30,-122.4263374,37.79351756
81297644,2008-07-24,16:17,-122.3918456,37.77812478
61218717,2006-11-15,10:13,-122.4513601,37.77517416
120833507,2012-10-16,21:42,-122.4217625,37.78754901
30094409,2003-01-23,23:55,-122.4072946,37.77717814
41439488,2004-12-20,12:10,-122.4361771,37.71420894
70737459,2007-07-21,19:00,-122.3799327,37.73338153
31087558,2003-09-15,9:29,-122.4065391,37.75648641
70047327,2007-01-13,20:40,-122.4080113,37.76924445
30719641,2003-06-15,0:06,-122.4027011,37.74633587
110808902,2011-10-07,11:00,-122.4157547,37.79120677
31422108,2003-12-06,1:40,-122.3917271,37.76285148
110737997,2011-09-13,17:44,-122.4181236,37.73989331
80328979,2008-03-29,11:20,-122.4211185,37.75690115
100326710,2010-04-08,16:50,-122.3894213,37.72935385
60612714,2006-06-09,17:46,-122.4034048,37.77542071
31087144,2003-09-14,22:15,-122.4422597,37.76421945
91044485,2009-10-09,8:00,-122.4586802,37.74815547
91190373,2009-11-19,4:57,-122.4411784,37.80018817
90865836,2009-08-23,21:00,-122.4035389,37.74811882
60054962,2006-01-14,23:30,-122.4318099,37.79750148
90021549,2009-01-07,8:24,-122.4026243,37.73928672
71196404,2007-11-21,22:59,-122.4108934,37.80315075
31173975,2003-10-06,2:12,-122.3906976,37.73479699
71255828,2007-12-08,9:38,-122.4109627,37.75268492
31446744,2003-12-12,14:00,-122.3933191,37.71120843
100676101,2010-07-24,1:14,-122.3836798,37.72792085
80475570,2008-05-06,15:56,-122.4301831,37.72986053
60371039,2006-04-07,2:03,-122.4142355,37.73885177
90114934,2009-02-01,1:39,-122.4038645,37.79822264
50603325,2005-05-30,13:38,-122.4952689,37.7385039
110736080,2011-09-13,0:30,-122.4372356,37.77220419
130573759,2013-09-06,23:00,-122.4217477,37.76274366
80375431,2008-04-10,19:23,-122.4286683,37.72853384
50915976,2005-08-15,23:10,-122.4096527,37.79649145
41386544,2004-12-06,15:33,-122.4034048,37.77542071
100229885,2010-03-10,15:06,-122.4720553,37.72682391
40009915,2004-01-03,23:15,-122.4641737,37.76413015
130862916,2013-10-12,1:42,-122.3997668,37.71418095
130071048,2013-01-25,17:20,-122.4778989,37.77472912
91070690,2009-10-17,2:09,-122.4020702,37.78871987
100249162,2010-03-16,8:50,-122.426391,37.73367492
70877500,2007-08-28,20:35,-122.4546169,37.71998202
70416976,2007-03-26,16:26,-122.3909717,37.73401522
80783129,2008-07-25,17:02,-122.3918456,37.77812478
91080166,2009-10-19,23:09,-122.442744,37.75117752
80966654,2008-09-12,2:01,-122.3934117,37.7202363
80097732,2008-01-28,16:33,-122.417803,37.75628222
50604248,2005-05-30,17:31,-122.4590236,37.7131719
51315856,2005-11-10,20:00,-122.4137479,37.79795553
70171299,2007-02-16,12:00,-122.3878473,37.74312273
30022905,2003-01-06,18:11,-122.382889,37.73034294
80385634,2008-04-13,14:00,-122.482481,37.7633237
70786133,2007-08-03,14:26,-122.4178034,37.76840431
70656473,2007-06-28,18:45,-122.4318307,37.7956417
30854322,2003-07-18,16:00,-122.3912434,37.7336342
51114608,2005-10-03,17:28,-122.4190858,37.77843533
80769624,2008-07-22,13:55,-122.4007846,37.72361678
130627378,2013-07-30,12:00,-122.4200841,37.70831097
40203258,2004-02-20,2:14,-122.4340635,37.76254864
91328546,2009-12-30,13:00,-122.4087875,37.79015782
31344499,2003-11-16,19:00,-122.4026046,37.72257378
80184351,2008-02-15,11:02,-122.5043306,37.75301011
81300689,2008-11-05,19:30,-122.485022,37.72846559
100099519,2010-01-30,15:06,-122.5036084,37.77260079
120981639,2012-12-05,15:04,-122.3963563,37.77465164
